DATAFLOW,LAST UPDATE,freq,c_birth,isced11,barrier,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 55 to 74 years,Females,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 55 to 74 years,Females,Thousand persons,Luxembourg,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Discrimination due to foreign origin,From 55 to 74 years,Females,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Females,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Females,Thousand persons,Switzerland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Females,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Females,Thousand persons,Finland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Females,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Females,Thousand persons,Luxembourg,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Females,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Estonia,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Greece,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Luxembourg,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Norway,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 15 to 24 years,Males,Thousand persons,Slovenia,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Switzerland,2021,5.8,,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Cyprus,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Greece,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Spain,2021,2.2,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Finland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,France,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Italy,2021,6.1,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Luxembourg,2021,0.8,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Netherlands,2021,4.8,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Norway,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Females,Thousand persons,Sweden,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Switzerland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Cyprus,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Denmark,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Spain,2021,5.0,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Finland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,France,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Luxembourg,2021,0.6,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Netherlands,2021,2.3,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 25 to 54 years,Males,Thousand persons,Norway,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Switzerland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Spain,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,France,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Italy,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Luxembourg,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Females,Thousand persons,Norway,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Males,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Males,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Males,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Males,Thousand persons,Spain,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Males,Thousand persons,Luxembourg,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Males,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)",Lack of language skills,From 55 to 74 years,Males,Thousand persons,Sweden,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Switzerland,2021,3.8,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Denmark,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Estonia,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Spain,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Finland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Italy,2021,6.0,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Luxembourg,2021,0.6,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Netherlands,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Females,Thousand persons,Norway,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Males,Thousand persons,Austria,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Males,Thousand persons,Belgium,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Males,Thousand persons,Switzerland,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Males,Thousand persons,Germany,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Males,Thousand persons,Denmark,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Males,Thousand persons,Estonia,2021,,u,
ESTAT:LFSO_21OBST01(1.0),12/12/24 23:00:00,Annual,EU27 countries (from 2020) except reporting country,"Less than primary, primary and lower secondary education (levels 0-2)","Language skills, qualifications, citizenship, foreign origin, job and other barriers",From 15 to 24 years,Males,Thousand persons,Greece,2021,,u,
